Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,,,,,,
2022 Canada R32,L vs Paul,4.2,4,4.3,49.30%,47.10%,52.00%,50.00%,,,,,,
2022 Umag F,L vs Sinner,3.6,3.7,3.6,41.10%,56.70%,23.50%,53.80%,,,,,,
2022 Umag SF,W vs Zeppieri,3.6,3.6,3.6,47.70%,60.70%,57.10%,70.00%,,,,,,
2022 Hamburg F,L vs Musetti,4.3,3.9,4.7,45.20%,49.00%,57.10%,58.30%,,,,,,
2022 Hamburg SF,W vs Molcan,4.7,4.8,4.6,48.30%,65.80%,50.00%,83.30%,,,,,,
2022 Hamburg R32,W vs Kuhn,3.9,3.4,4.3,53.60%,63.00%,41.20%,38.50%,,,,,,
2022 Wimbledon R16,L vs Sinner,3.5,3.2,3.7,44.80%,46.20%,33.30%,44.40%,,,,,,
2022 Roland Garros QF,L vs Zverev,4.4,4.4,4.3,44.40%,53.80%,51.60%,44.00%,,,,,,
2022 Roland Garros R64,W vs Ramos,4.8,4.3,5.2,49.70%,51.80%,54.70%,65.90%,,,,,,
2022 Madrid F,W vs Zverev,3.3,3.2,3.3,61.40%,77.80%,60.00%,80.00%,,,,,,
2022 Madrid SF,W vs Djokovic,3.9,3.8,3.9,48.80%,50.00%,65.40%,47.60%,,,,,,
2022 Madrid QF,W vs Nadal,4.2,4,4.3,47.30%,51.20%,55.60%,63.60%,,,,,,
2022 Barcelona F,W vs Carreno Busta,4.2,3.6,4.5,65.30%,57.10%,66.70%,42.90%,,,,,,
2022 Barcelona SF,W vs De Minaur,4.9,4.9,4.9,55.90%,45.60%,50.00%,44.80%,,,,,,
2022 Barcelona QF,W vs Tsitsipas,4,4,4,58.30%,53.30%,60.00%,35.70%,,,,,,
2022 Monte Carlo R32,L vs Korda,3.9,3.6,4.1,53.30%,38.20%,48.60%,63.60%,,,,,,
2022 Miami F,W vs Ruud,3.7,3.7,3.7,55.30%,55.60%,33.30%,62.50%,,,,,,
2022 Miami SF,W vs Hurkacz,3.6,4.1,3.1,51.00%,61.10%,52.60%,37.50%,,,,,,
2022 Miami QF,W vs Kecmanovic,4.2,3.8,4.7,48.20%,42.90%,69.20%,57.90%,,,,,,
2022 Miami R16,W vs Tsitsipas,4.3,4.4,4.3,47.40%,59.40%,67.90%,58.30%,,,,,,
2022 Indian Wells SF,L vs Nadal,5.1,5,5.2,48.00%,51.00%,52.90%,44.40%,,,,,,
2022 Indian Wells R16,W vs Monfils,3.8,3.7,3.8,52.90%,81.00%,50.00%,84.60%,,,,,,
2022 Indian Wells R32,W vs Bautista Agut,5,4.2,5.9,63.60%,60.00%,71.40%,75.00%,,,,,,
2022 Rio de Janeiro F,W vs Schwartzman,5.5,5.5,5.6,61.90%,71.40%,42.10%,58.80%,,,,,,
2022 Rio de Janeiro SF,W vs Fognini,3.8,4,3.5,52.90%,55.30%,58.30%,66.70%,,,,,,
2022 Rio de Janeiro QF,W vs Berrettini,3.7,3.8,3.7,47.30%,61.30%,70.00%,25.00%,,,,,,
2022 Rio de Janeiro R16,W vs Delbonis,4.7,4.5,4.9,52.60%,51.40%,59.10%,57.10%,,,,,,
2022 Rio de Janeiro R32,W vs Munar,5.4,5.4,5.4,56.70%,44.10%,65.40%,50.00%,,,,,,
2022 Australian Open R32,L vs Berrettini,3.6,3.3,3.8,46.70%,56.50%,60.50%,37.50%,,,,,,
2021 NextGen Finals F,W vs Korda,3.8,4.2,3.4,52.60%,37.50%,66.70%,58.30%,,,,,,
2021 NextGen Finals SF,W vs Baez,3.4,2.3,4.2,70.00%,58.80%,60.00%,33.30%,,,,,,
2021 NextGen Finals RR,W vs Rune,4,3.7,4.4,57.90%,56.00%,66.70%,80.00%,,,,,,
2021 NextGen Finals RR,W vs Nakashima,3.6,3.7,3.4,54.30%,45.80%,69.20%,75.00%,,,,,,
2021 Paris R16,L vs Gaston,4.5,4.9,4,40.40%,47.50%,33.30%,50.00%,,,,,,
2021 Paris R32,W vs Sinner,3.9,3.9,3.8,45.30%,66.10%,73.30%,28.60%,,,,,,
2021 Paris R64,W vs Herbert,3.4,3.9,3,52.90%,41.50%,64.70%,66.70%,,,,,,
2021 Vienna R32,W vs Evans,4.7,5.2,4.2,62.50%,54.20%,46.70%,38.50%,,,,,,
2021 Indian Wells R64,L vs Murray,5.1,5,5.1,43.60%,51.20%,33.30%,61.30%,,,,,,
2021 US Open R16,W vs Gojowczyk,4.2,4.3,4.2,51.90%,58.70%,54.80%,66.70%,,,,,,
2021 US Open R32,W vs Tsitsipas,4.2,4.6,3.8,46.60%,51.80%,53.70%,46.40%,,,,,,
2021 US Open R128,W vs Norrie,3.7,3.4,3.9,52.80%,57.90%,53.80%,69.20%,,,,,,
2021 Umag F,W vs Gasquet,4,3.8,4.2,56.70%,56.70%,66.70%,62.50%,,,,,,
2021 Umag R16,W vs Martin,4.7,4.5,4.9,54.50%,67.60%,60.00%,57.10%,,,,,,
2021 Umag R32,W vs Pouille,4.5,4.8,4.2,57.90%,56.50%,52.00%,33.30%,,,,,,
2021 Wimbledon R64,L vs Medvedev,3.6,3.8,3.2,40.40%,35.70%,40.00%,33.30%,,,,,,
2021 Madrid R32,L vs Nadal,4.7,4.3,5,38.50%,17.40%,27.30%,50.00%,,,,,,
2021 Miami R128,L vs Ruusuvuori,4,3.7,4.4,47.60%,59.00%,52.40%,50.00%,,,,,,
2021 Australian Open R128,W vs Van De Zandschulp,3.1,3.6,2.7,51.30%,66.70%,60.00%,83.30%,,,,,,
